country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Japan,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Kazakhstan,99,93,93,120,94,98,96,100,90,100,98,110,86,100,95,97,93,99,100,97,76,68
Kenya,46,46,46,46,46,45,45,45,45,45,45,45,45,45,45,46,46,54,65,62,55,57
Kyrgyz Republic,87,87,86,180,85,85,85,85,85,86,86,86,87,87,87,88,88,88,88,88,61,54
Cambodia,27,27,35,41,45,53,52,54,60,61,64,62,66,63,74,62,62,66,58,64,63,45
Kiribati,76,76,76,75,75,75,75,76,76,76,76,76,76,76,76,76,76,76,76,76,73,60
St. Kitts and Nevis,,87,87,87,87,,87,87,87,87,87,87,87,,87,,,87,,87,87,
South Korea,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
Kuwait,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Lao,12,14,15,16,20,24,26,26,28,27,29,32,31,32,35,37,41,49,57,61,73,58
Lebanon,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Liberia,22,24,45,32,53,39,47,,47,53,56,63,61,55,36,41,49,52,52,54,44,46
Libya,65,,85,87,73,90,85,87,81,83,,61,66,56,47,39,45,53,70,57,45,49
St. Lucia,85,86,86,86,86,86,86,87,88,88,89,89,89,89,89,89,89,89,89,89,200,140
Sri Lanka,68,60,71,73,68,73,66,67,70,71,73,74,66,67,67,67,62,60,62,60,51,48
Lesotho,59,38,50,60,50,46,51,54,49,49,49,51,50,49,49,46,48,48,49,49,34,32
Lithuania,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Luxembourg,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Latvia,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,,,,87
"Macao, China",87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Morocco,88,88,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,83,84
Monaco,,,,,,,,,,,87,,,,,,87,,87,,,
Moldova,86,87,88,170,90,90,91,93,94,95,97,99,100,100,110,110,110,110,110,110,73,80
Madagascar,,34,36,40,41,39,44,43,43,44,47,49,48,48,50,51,49,51,54,58,55,59
Maldives,79,80,81,81,82,83,83,82,82,81,81,81,82,83,84,84,84,84,84,84,57,44
Mexico,81,81,81,81,80,80,81,81,81,81,81,81,81,81,81,81,81,81,81,82,62,68
Marshall Islands,75,76,77,78,80,81,82,83,83,84,84,85,87,89,91,93,96,98,100,110,70,58
North Macedonia,80,80,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,58,61
Mali,49,51,50,50,50,51,54,55,63,69,54,55,54,57,58,65,65,61,65,64,64,66
Malta,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Myanmar,12,17,22,29,37,41,47,50,48,50,53,58,62,62,66,69,71,70,78,79,62,33
Montenegro,,,,,,85,85,85,86,86,86,86,86,86,86,86,86,86,86,87,44,81
Mongolia,30,33,36,36,42,42,46,42,40,39,39,36,35,36,36,37,34,32,29,31,27,19
