country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Lao,77,75,75,79,86,90,92,92,93,93,91,90,90,87,86,88,86,89,88,90,89
Lebanon,92,91,91,92,90,92,89,80,84,85,81,78,71,71,76,83,85,84,81,80,81
Liberia,80,76,76,73,70,75,,71,84,86,,87,79,40,74,77,77,77,75,75,76
Libya,,,61,62,64,69,77,64,70,,61,59,60,59,57,61,59,59,69,70,69
St. Lucia,100,50,25,89,69,69,81,86,95,50,89,57,64,100,,,67,91,100,67,75
Sri Lanka,79,80,81,80,85,87,87,88,87,87,88,88,86,85,84,85,85,85,85,85,83
Lesotho,,71,71,70,57,73,62,59,68,66,65,69,71,70,70,74,77,76,77,78,76
Lithuania,73,72,71,74,81,79,79,75,77,77,74,78,80,80,81,79,84,83,87,87,86
Luxembourg,,,,,,,,,,,0,,,0,,,,0,,36,38
Latvia,72,73,76,74,79,79,79,83,77,77,78,77,87,83,83,84,85,,,,
"Macao, China",89,86,82,83,92,92,89,91,91,89,92,90,88,82,86,80,82,82,83,85,84
Morocco,89,,89,86,86,83,88,88,88,87,88,81,89,89,86,88,87,88,88,89,88
Monaco,,,,,,,,,,,,,,100,,,0,,0,,
Moldova,63,64,54,65,70,74,73,74,71,69,67,73,76,80,79,80,83,81,85,84,79
Madagascar,70,69,74,71,71,74,77,78,80,80,81,83,82,82,83,82,84,84,83,82,83
Maldives,97,97,95,91,97,89,89,64,71,40,81,87,79,84,37,83,83,68,64,61,80
Mexico,76,,83,82,81,74,77,80,81,83,82,82,80,80,80,80,79,77,76,72,71
Marshall Islands,91,86,100,90,89,62,63,85,88,81,84,83,86,89,86,24,81,83,91,87,86
North Macedonia,86,89,81,84,81,77,83,89,89,89,85,89,86,91,87,86,88,88,87,89,84
Mali,,50,50,65,71,75,76,77,81,79,77,69,93,74,73,77,77,78,80,82,82
Malta,100,100,60,100,89,96,100,78,74,76,65,69,24,76,,,,,,,99
Myanmar,82,81,81,81,82,83,83,84,84,84,88,88,89,87,87,87,88,87,88,88,87
Montenegro,,,,,,26,44,78,83,85,87,86,84,87,89,93,80,87,95,95,88
Mongolia,87,87,87,87,91,91,91,93,92,92,91,90,88,89,86,85,90,91,91,88,90
Northern Mariana Islands,81,74,71,75,87,82,84,89,83,84,90,95,94,82,62,100,93,98,91,86,87
Mozambique,75,78,78,76,77,79,83,79,84,85,85,,87,88,89,88,90,90,93,94,94
Mauritania,,,,58,22,55,41,66,68,60,70,70,68,71,70,71,70,77,81,81,75
Mauritius,93,93,92,87,89,86,93,85,88,89,91,90,91,88,90,91,89,88,81,79,83
Malawi,73,70,72,73,70,74,79,84,81,85,83,83,82,82,85,81,82,86,88,88,90
Malaysia,78,79,76,72,52,66,45,71,75,73,76,76,78,76,78,78,80,81,79,80,78
Namibia,56,63,66,63,46,69,75,77,81,80,85,86,85,86,87,83,84,86,86,87,88
New Caledonia,89,84,85,75,97,87,86,87,80,79,82,35,,60,20,26,31,35,,,24
